asset_type,symbol,quantity,buy_price,purchase_date,notes
Mutual Fund,AXIS_BLUECHIP,1000.0,45.50,2024-01-10,Large cap equity fund
Mutual Fund,SBI_SMALL_CAP,500.0,85.25,2024-01-15,Small cap growth fund
Mutual Fund,HDFC_TOP_100,800.0,675.80,2024-01-20,Large cap diversified
Mutual Fund,ICICI_FOCUSSED_BLUECHIP,600.0,42.30,2024-01-25,Focused equity fund
Mutual Fund,MIRAE_LARGE_CAP,1200.0,68.90,2024-02-01,Korean fund house
Mutual Fund,KOTAK_SMALL_CAP,300.0,185.40,2024-02-05,Small cap specialist
Mutual Fund,NIPPON_GROWTH,700.0,52.75,2024-02-10,Multi cap growth
Mutual Fund,DSP_MIDCAP,400.0,95.60,2024-02-15,Mid cap opportunities
Mutual Fund,FRANKLIN_PRIMA,900.0,415.20,2024-01-05,Large cap value
Mutual Fund,UTI_NIFTY_INDEX,1500.0,185.30,2024-01-12,Index fund tracking Nifty
Mutual Fund,MOTILAL_NASDAQ_100,200.0,35.80,2024-01-18,International equity fund
Mutual Fund,PPFAS_LONG_TERM,250.0,285.45,2024-01-22,Multi asset fund
Mutual Fund,QUANTUM_LONG_TERM,600.0,55.20,2024-01-28,Tax saving ELSS fund
Mutual Fund,HDFC_GILT_FUND,800.0,25.80,2024-02-02,Government securities fund
Mutual Fund,SBI_LIQUID_FUND,2000.0,4025.65,2024-02-08,Liquid fund for parking money
